California,33871648
Texas,20851820
Florida,18976457
New York,15982378
Pennsylvania,12419293
Illinois,12281054
Ohio,11353140
Georgia,9938444
North Carolina,8414350
Michigan,8186453
New Jersey,8049313
Virginia,7078515
Washington,6349097
Arizona,6080485
Massachusetts,5894121
Tennessee,5689283
Indiana,5595211
Missouri,5363675
Maryland,5296486
Wisconsin,5130632
Colorado,4919479
Minnesota,4468976
South Carolina,4447100
Alabama,4301261
Louisiana,4041769
Kentucky,4012012
Oregon,3450654
Oklahoma,3421399
Connecticut,3405565
Utah,2926324
Iowa,2844658
Nevada,2688418
Arkansas,2673400
Mississippi,2233169
Kansas,1998257
New Mexico,1819046
Nebraska,1808344
West Virginia,1711263
Idaho,1293953
Hawaii,1274923
New Hampshire,1235786
Maine,1211537
Montana,1048319
Rhode Island,902195
Delaware,783600
South Dakota,754844
North Dakota,642200
Alaska,626932
Vermont,608827
Wyoming,493782
